generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
680000,Olyras,Mechanitis,58.6955,0.627228,-0.0982429,0.0283706,0
680000,Lyela,Narope,31.3393,0.522771,-0.0585826,0.00291601,0
700000,Libythea,Olyras,0,0.18951,-0.0208878,0.00277657,0
700000,Libythea,Libytheana,37.1535,0.062742,0.00581014,0.168644,0
700000,Olyras,Mechanitis,61.3615,0.563365,-0.120106,0.0116469,0
700000,Lyela,Narope,32.1024,0.651701,-0.0654184,7.70462e-05,0
720000,Libythea,Olyras,0,0.227496,-0.02403,0.000394961,0
720000,Olyras,Mechanitis,60.6272,0.363443,-0.0985184,0.00959903,0
720000,Faunula,NA,90.3971,0.300635,-0.185129,0.377923,0
720000,Lyela,Steroma,38.5171,0.395641,-0.0575649,0.00290278,0
740000,Libythea,Olyras,0,0.231785,-0.0233709,0.00419847,0
740000,Hyposcada,Epityches,68.7786,0.897203,-0.149759,0.0233372,0
740000,Neonympha,NA,80.1351,0.0124346,0.0955317,0.0492808,0
740000,Lyela,Steroma,37.889,0.420941,-0.0608773,0.00517593,0
760000,Libythea,Olyras,0,0.17261,-0.0214737,0.000946196,0
760000,Libythea,Libytheana,35.8839,0.0312008,0.194267,0.136974,0
760000,Olyras,Hyposcada,62.8212,0.48303,-0.122432,0.00018519,0
760000,Lyela,Steroma,40.6212,0.386002,-0.0622984,0.00963736,0
780000,Libythea,Olyras,0,0.169155,-0.0194067,0.00215089,0
780000,Olyras,Mechanitis,61.3111,0.394047,-0.109882,0.0190383,0
780000,Lyela,Narope,33.3292,0.372459,-0.0553816,0.00263867,0
800000,Libythea,Olyras,0,0.249244,-0.0263421,0.00126267,0
800000,Olyras,Mechanitis,60.6361,0.353648,-0.0884519,0.00148164,0
800000,Lyela,Narope,32.8815,0.434856,-0.0570351,0.00463897,0
820000,Libythea,Olyras,0,0.276455,-0.025463,0.0016885,0
820000,Olyras,Mechanitis,61.5575,0.435438,-0.0934574,0.0201452,0
820000,Dryadula,NA,77.2732,0.0471368,0.0209892,0.413805,0
820000,Lyela,Steroma,39.7933,0.450362,-0.0640016,0.00250912,0
840000,Libythea,Olyras,0,0.225618,-0.0229631,0.00234196,0
840000,Olyras,Mechanitis,61.4399,0.330046,-0.0768799,0.0287717,0
840000,Lyela,Steroma,37.0315,0.507818,-0.0655345,0.006656,0
860000,Libythea,Olyras,0,0.251383,-0.0246037,0.000454595,0
860000,Olyras,Hyposcada,62.7855,0.665653,-0.113008,0.0137959,0
860000,Lyela,Steroma,41.9419,0.500227,-0.0810128,0.000738666,0
880000,Libythea,Olyras,0,0.236817,-0.0257222,0.00178652,0
880000,Olyras,Thyridia,53.4864,0.567148,-0.0788267,0.00307061,0
880000,Vanessa,NA,78.5485,0.0294429,0.185432,0.0571412,0
880000,Lyela,Steroma,40.1396,0.323081,-0.0581591,0.00583315,0
900000,Libythea,Olyras,0,0.20283,-0.0223474,0.00399221,0
900000,Olyras,Hyposcada,63.1848,0.627501,-0.126024,0.0109042,0
900000,Lyela,Narope,31.5513,0.386956,-0.0543507,0.00201399,0
920000,Libythea,Olyras,0,0.271634,-0.027617,0.000172405,0
920000,Libythea,Libytheana,11.011,0.0182937,-0.00789345,0.0512693,0
920000,Olyras,Mechanitis,61.5238,0.291989,-0.0840832,0.0041006,0
920000,Lyela,Steroma,41.054,0.494779,-0.0641653,0.017931,0
940000,Libythea,Olyras,0,0.302727,-0.0289944,0.00221374,0
940000,Olyras,Mechanitis,60.8742,0.5798,-0.120646,0.0123885,0
940000,Calinaga,NA,72.0448,0.0336839,-0.00371076,0.432674,0
940000,Lyela,Steroma,42.2746,0.370407,-0.068127,0.00104699,0
960000,Libythea,Olyras,0,0.260934,-0.0268666,0.00101345,0
960000,Hyposcada,Epityches,66.7682,0.617821,-0.136767,0.00208906,0
960000,Dryadula,NA,86.7423,0.281647,0.146615,0.761352,0
960000,Parapedaliodes,NA,89.7102,0.120248,0.11365,0.297598,0
960000,Euptychia,NA,93.2225,0.317653,0.132612,0.144413,0
960000,Lyela,Steroma,41.1341,0.436592,-0.0660922,0.00189592,0
980000,Libythea,Olyras,0,0.189406,-0.0217386,0.00302793,0
980000,Olyras,Mechanitis,61.742,0.508114,-0.0915902,0.04107,0
980000,Tellervo,NA,54.9698,0.321848,-0.107599,0.0736533,0
980000,Lyela,Narope,33.1924,0.493538,-0.0620359,0.000459921,0
1000000,Libythea,Olyras,0,0.163259,-0.019801,0.000848695,0
1000000,Olyras,Mechanitis,61.5184,0.380337,-0.0889372,0.0202665,0
1000000,Lyela,Narope,31.7102,0.483939,-0.054374,0.00119119,0
1020000,Libythea,Olyras,0,0.177707,-0.0223305,0.000706652,0
1020000,Olyras,Mechanitis,57.758,0.678332,-0.0959398,0.0157524,0
1020000,Lyela,Narope,32.3251,0.419183,-0.0562732,0.00406583,0
1040000,Libythea,Olyras,0,0.181997,-0.022644,0.00153769,0
1040000,Olyras,Mechanitis,60.4052,0.580436,-0.10746,0.000339916,0
1040000,Lyela,Narope,29.2545,0.391886,-0.0492303,0.000624921,0
1060000,Libythea,Olyras,0,0.258336,-0.0252314,9.98831e-05,0
1060000,Olyras,Mechanitis,61.5911,0.341931,-0.0777876,0.0187657,0
1060000,Lyela,Narope,33.1648,0.350243,-0.0520492,0.000342447,0
1080000,Libythea,Olyras,0,0.228448,-0.0245708,0.000392882,0
1080000,Olyras,Mechanitis,60.5419,0.308745,-0.0787563,0.0019587,0
1080000,Lyela,Narope,33.2234,0.459167,-0.0577754,0.000588963,0
1100000,Libythea,Olyras,0,0.25521,-0.0245741,0.00581043,0
1100000,Olyras,Mechanitis,61.7323,0.314276,-0.082464,0.0176932,0
1100000,Lyela,Narope,33.3358,0.388443,-0.0542856,7.48737e-05,0
1120000,Libythea,Olyras,0,0.222903,-0.0231039,0.0014855,0
1120000,Hyposcada,Methona,64.23,0.76841,-0.133297,0.0219928,0
1120000,Lyela,Steroma,42.2429,0.444763,-0.0734259,0.00102557,0
1140000,Libythea,Olyras,0,0.237085,-0.0220407,0.00264786,0
1140000,Hyposcada,Epityches,68.3011,0.870793,-0.166411,0.0261707,0
1140000,Lyela,Steroma,39.8479,0.233813,-0.0543982,0.0051206,0
1160000,Libythea,Olyras,0,0.182155,-0.0207144,0.00131925,0
1160000,Olyras,Mechanitis,59.7606,0.378883,-0.0720093,0.00558013,0
1160000,Nica,NA,88.6469,0.0796364,-0.142763,0.107729,0
1160000,Lyela,Steroma,40.2051,0.436645,-0.0654209,0.000958505,0
1180000,Libythea,Olyras,0,0.162099,-0.0197695,0.00130937,0
1180000,Olyras,Mechanitis,60.7027,0.890806,-0.113959,0.0246786,0
1180000,Lyela,Narope,33.0204,0.619959,-0.0650968,0.00163643,0
1200000,Libythea,Olyras,0,0.117124,-0.0153572,0.00269237,0
1200000,Hyposcada,Epityches,69.2013,0.397943,-0.148613,0.00956982,0
1200000,Lyela,Narope,33.2094,0.462033,-0.0545047,0.00553476,0
1220000,Libythea,Olyras,0,0.206726,-0.0232777,0.00431683,0
1220000,Olyras,Mechanitis,60.8634,0.646408,-0.097779,0.0108166,0
1220000,Lyela,Narope,33.383,0.594524,-0.064858,9.85036e-05,0
1240000,Libythea,Olyras,0,0.299014,-0.0277979,0.00182734,0
1240000,Olyras,Mechanitis,58.7433,0.75451,-0.11441,0.0187839,0
1240000,Lyela,Steroma,41.8781,0.38945,-0.0658581,0.00410086,0
1260000,Libythea,Olyras,0,0.203841,-0.0222432,0.00558301,0
1260000,Olyras,Mechanitis,61.4202,0.525615,-0.114816,0.0197195,0
1260000,Lyela,Steroma,41.7992,0.294955,-0.0586168,0.00205621,0
1280000,Libythea,Olyras,0,0.204128,-0.0223753,0.0031686,0
1280000,Epityches,Hypoleria,70.6457,0.201127,-0.10064,0.00120721,0
1280000,Lyela,Steroma,40.311,0.507501,-0.0753378,0.00124633,0
1300000,Libythea,Olyras,0,0.251389,-0.0262473,0.00263945,0
1300000,Hyposcada,Epityches,68.4549,0.571902,-0.165525,0.00599342,0
1300000,Lyela,Steroma,38.4836,0.429949,-0.0579554,0.00556095,0
1320000,Libythea,Olyras,0,0.222214,-0.0257675,0.00470458,0
1320000,Olyras,Hyposcada,63.2422,0.402577,-0.0914041,0.00245997,0
1320000,Discophora,NA,89.1302,0.154294,0.0174514,1.11498,0
1320000,Lyela,Narope,33.3227,0.609862,-0.0658291,0.000650838,0
1340000,Libythea,Olyras,0,0.137659,-0.019427,3.51817e-05,0
1340000,Olyras,Mechanitis,57.6017,0.469391,-0.0831955,0.00624619,0
1340000,Lyela,Steroma,41.472,0.448027,-0.0693995,0.00143426,0
1360000,Libythea,Olyras,0,0.161609,-0.0190281,9.10748e-05,0
1360000,Olyras,Mechanitis,59.3279,0.719584,-0.122023,0.00270937,0
1360000,Lyela,Narope,32.9377,0.539044,-0.0611222,0.00219127,0
1380000,Libythea,Olyras,0,0.167402,-0.0210465,0.00151072,0
1380000,Olyras,Mechanitis,57.7129,0.510159,-0.0829518,0.00942654,0
1380000,Lyela,Narope,32.2856,0.420031,-0.0515826,0.00507434,0
1400000,Libythea,Olyras,0,0.156757,-0.0195328,0.00514078,0
1400000,Heterosais,NA,81.6847,0.00842957,-0.113371,0.106704,0
1400000,Olyras,Mechanitis,58.1952,0.497046,-0.0896742,0.0147219,0
1400000,Lyela,Steroma,42.0717,0.413268,-0.0691065,0.00870152,0
1420000,Libythea,Olyras,0,0.169311,-0.0207923,0.000580375,0
1420000,Olyras,Mechanitis,58.8524,0.406694,-0.0868318,0.0150157,0
1420000,Lyela,Steroma,40.8295,0.294348,-0.0503591,0.0160704,0
1440000,Libythea,Olyras,0,0.143199,-0.019802,0.00022016,0
1440000,Olyras,Mechanitis,59.4529,0.645622,-0.0927526,0.0386021,0
1440000,Catuna,NA,91.3586,0.578553,-0.0214925,0.316269,0
1440000,Lyela,Narope,33.4086,0.670146,-0.071768,0.000149144,0
1460000,Libythea,Olyras,0,0.310047,-0.0301419,0.00558139,0
1460000,Olyras,Mechanitis,60.0857,0.484039,-0.0901123,0.00918281,0
1460000,Lyela,Steroma,38.8276,0.510384,-0.0604408,0.016417,0
1480000,Libythea,Olyras,0,0.322681,-0.028739,0.00148507,0
1480000,Olyras,Mechanitis,60.6534,0.354151,-0.103336,0.00225842,0
1480000,Lyela,Steroma,38.2341,0.470734,-0.0631772,0.00393213,0
1500000,Libythea,Olyras,0,0.173111,-0.0216367,0.000420158,0
